"No.","Time","Source","Destination","Protocol","Length","Info"
"1","03:34:40.619432766","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"2","03:34:40.620950443","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"3","03:34:40.622277696","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"4","03:34:48.299777883","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"5","03:34:48.301065710","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"6","03:34:48.302191073","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"7","03:34:57.003578818","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"8","03:34:57.004857329","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"9","03:34:57.006086159","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"10","03:35:04.069475592","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"11","03:35:04.070553638","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"12","03:35:04.071780579","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"13","03:35:10.008437663","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"14","03:35:10.009537773","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"15","03:35:10.011036470","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"16","03:35:12.366761695","192.168.1.1","239.255.255.250","SSDP","459","NOTIFY * HTTP/1.1 "
"17","03:35:12.371259427","192.168.1.1","239.255.255.250","SSDP","468","NOTIFY * HTTP/1.1 "
"18","03:35:12.376177831","192.168.1.1","239.255.255.250","SSDP","531","NOTIFY * HTTP/1.1 "
"19","03:35:12.380707705","192.168.1.1","239.255.255.250","SSDP","523","NOTIFY * HTTP/1.1 "
"20","03:35:12.385260059","192.168.1.1","239.255.255.250","SSDP","468","NOTIFY * HTTP/1.1 "
"21","03:35:12.389746988","192.168.1.1","239.255.255.250","SSDP","507","NOTIFY * HTTP/1.1 "
"22","03:35:12.394615845","192.168.1.1","239.255.255.250","SSDP","539","NOTIFY * HTTP/1.1 "
"23","03:35:12.399025738","192.168.1.1","239.255.255.250","SSDP","468","NOTIFY * HTTP/1.1 "
"24","03:35:12.474369865","192.168.1.1","239.255.255.250","SSDP","521","NOTIFY * HTTP/1.1 "
"25","03:35:12.571512514","192.168.1.1","239.255.255.250","SSDP","459","NOTIFY * HTTP/1.1 "
"26","03:35:12.576000522","192.168.1.1","239.255.255.250","SSDP","468","NOTIFY * HTTP/1.1 "
"27","03:35:12.580936355","192.168.1.1","239.255.255.250","SSDP","531","NOTIFY * HTTP/1.1 "
"28","03:35:12.585718179","192.168.1.1","239.255.255.250","SSDP","523","NOTIFY * HTTP/1.1 "
"29","03:35:12.590030972","192.168.1.1","239.255.255.250","SSDP","468","NOTIFY * HTTP/1.1 "
"30","03:35:12.594732792","192.168.1.1","239.255.255.250","SSDP","507","NOTIFY * HTTP/1.1 "
"31","03:35:12.599862308","192.168.1.1","239.255.255.250","SSDP","539","NOTIFY * HTTP/1.1 "
"32","03:35:12.674285725","192.168.1.1","239.255.255.250","SSDP","527","NOTIFY * HTTP/1.1 "
"33","03:35:12.679115963","192.168.1.1","239.255.255.250","SSDP","521","NOTIFY * HTTP/1.1 "
"34","03:35:17.688682116","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"35","03:35:17.689866850","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"36","03:35:17.690978195","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"37","03:35:21.272239401","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"38","03:35:21.273668633","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"39","03:35:21.274985312","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"40","03:35:25.368271354","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"41","03:35:25.369494889","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"42","03:35:25.370853723","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"43","03:35:30.456037194","fe80::2860:e0ad:d860:d4d5","ff02::1:2","DHCPv6","126","Solicit XID: 0xece513 CID: 0004bd9e6aedb0d32beabc4c58fa0731f490 "
"44","03:35:30.470391860","fe80::ae84:c6ff:fe4e:7874","fe80::2860:e0ad:d860:d4d5","DHCPv6","133","Advertise XID: 0xece513 CID: 0004bd9e6aedb0d32beabc4c58fa0731f490 "
"45","03:35:32.433994723","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"46","03:35:32.435319394","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"47","03:35:32.436540895","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"48","03:35:35.507158084","fe80::ae84:c6ff:fe4e:7874","fe80::2860:e0ad:d860:d4d5","ICMPv6","86","Neighbor Solicitation for fe80::2860:e0ad:d860:d4d5 from ac:84:c6:4e:78:74"
"49","03:35:35.507209271","fe80::2860:e0ad:d860:d4d5","fe80::ae84:c6ff:fe4e:7874","ICMPv6","78","Neighbor Advertisement fe80::2860:e0ad:d860:d4d5 (sol)"
"50","03:35:39.089852051","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"51","03:35:39.091208483","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"52","03:35:39.092390802","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"53","03:35:40.669373598","fe80::2860:e0ad:d860:d4d5","fe80::ae84:c6ff:fe4e:7874","ICMPv6","86","Neighbor Solicitation for fe80::ae84:c6ff:fe4e:7874 from 98:22:ef:81:a3:7b"
"54","03:35:40.672690307","fe80::ae84:c6ff:fe4e:7874","fe80::2860:e0ad:d860:d4d5","ICMPv6","78","Neighbor Advertisement fe80::ae84:c6ff:fe4e:7874 (rtr, sol)"
"55","03:35:46.155340132","192.168.1.1","224.0.0.1","IGMPv3","50","Membership Query, general"
"56","03:35:47.897595163","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"57","03:35:47.899752671","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"58","03:35:59.672761985","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"59","03:35:59.673918328","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"60","03:35:59.675300684","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"61","03:36:05.714237131","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"62","03:36:05.715485759","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"63","03:36:05.717025515","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"64","03:36:06.504883059","192.168.1.103","192.168.1.1","DNS","79","Standard query 0x17f6 A pool.supportxmr.com"
"65","03:36:06.507251903","192.168.1.103","192.168.1.1","DNS","79","Standard query 0x1afc AAAA pool.supportxmr.com"
"66","03:36:06.539374306","192.168.1.1","192.168.1.103","DNS","149","Standard query response 0x17f6 A pool.supportxmr.com CNAME pool-at.supportxmr.com A 94.130.12.27 A 94.130.12.30 A 178.63.100.197"
"67","03:36:06.629233077","192.168.1.1","192.168.1.103","DNS","157","Standard query response 0x1afc AAAA pool.supportxmr.com CNAME pool-at.supportxmr.com SOA ns11.constellix.com"
"68","03:36:06.630941621","192.168.1.103","94.130.12.30","TCP","74","59498  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2453234360 TSecr=0 WS=128"
"69","03:36:06.840917845","94.130.12.30","192.168.1.103","TCP","74","443  >  59498 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1404 SACK_PERM=1 TSval=860006957 TSecr=2453234360 WS=128"
"70","03:36:06.841027186","192.168.1.103","94.130.12.30","TCP","66","59498  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2453234570 TSecr=860006957"
"71","03:36:06.870749106","192.168.1.103","94.130.12.30","TLSv1.2","359","Client Hello"
"72","03:36:07.046598929","94.130.12.30","192.168.1.103","TCP","66","443  >  59498 [ACK] Seq=1 Ack=294 Win=30080 Len=0 TSval=860007017 TSecr=2453234600"
"73","03:36:07.046599340","94.130.12.30","192.168.1.103","TLSv1.2","1401","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"74","03:36:07.046699771","192.168.1.103","94.130.12.30","TCP","66","59498  >  443 [ACK] Seq=294 Ack=1336 Win=64128 Len=0 TSval=2453234776 TSecr=860007017"
"75","03:36:07.063679368","192.168.1.103","94.130.12.30","TLSv1.2","192","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"76","03:36:07.252125951","94.130.12.30","192.168.1.103","TLSv1.2","324","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"77","03:36:07.252198361","192.168.1.103","94.130.12.30","TCP","66","59498  >  443 [ACK] Seq=420 Ack=1594 Win=64128 Len=0 TSval=2453234982 TSecr=860007065"
"78","03:36:07.254280795","192.168.1.103","94.130.12.30","TLSv1.2","620","Application Data"
"79","03:36:07.456461325","94.130.12.30","192.168.1.103","TLSv1.2","586","Application Data"
"80","03:36:07.456565987","192.168.1.103","94.130.12.30","TCP","66","59498  >  443 [ACK] Seq=974 Ack=2114 Win=64128 Len=0 TSval=2453235186 TSecr=860007113"
"81","03:36:09.299053436","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"82","03:36:09.301128064","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"83","03:36:11.551748321","Tp-LinkT_4e:78:74","LiteonTe_81:a3:7b","ARP","42","Who has 192.168.1.103? Tell 192.168.1.1"
"84","03:36:11.551757230","LiteonTe_81:a3:7b","Tp-LinkT_4e:78:74","ARP","42","192.168.1.103 is at 98:22:ef:81:a3:7b"
"85","03:36:15.339423578","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"86","03:36:15.340704274","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"87","03:36:15.342003745","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"88","03:36:19.947669595","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"89","03:36:19.949010273","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"90","03:36:19.950283036","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"91","03:36:29.573170760","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"92","03:36:29.574481289","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"93","03:36:29.575725910","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"94","03:36:34.795822663","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"95","03:36:34.797129499","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"96","03:36:34.798472515","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"97","03:36:41.861177937","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"98","03:36:41.862392182","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"99","03:36:41.863645268","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"100","03:36:46.366996665","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"101","03:36:46.368241163","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"102","03:36:46.369517518","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"103","03:36:52.715762759","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"104","03:36:52.717045173","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"105","03:36:52.718389145","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"106","03:36:59.371720125","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"107","03:36:59.372970591","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"108","03:36:59.374185274","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"109","03:37:03.570022367","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"110","03:37:03.571299880","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"111","03:37:03.572761139","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"112","03:37:07.885174343","192.168.1.103","94.130.12.30","TLSv1.2","197","Application Data"
"113","03:37:08.075935663","94.130.12.30","192.168.1.103","TLSv1.2","166","Application Data"
"114","03:37:08.075963272","192.168.1.103","94.130.12.30","TCP","66","59498  >  443 [ACK] Seq=1105 Ack=2214 Win=64128 Len=0 TSval=2453295805 TSecr=860022271"
"115","03:37:09.920081842","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"116","03:37:12.383670589","192.168.1.1","239.255.255.250","SSDP","468","NOTIFY * HTTP/1.1 "
"117","03:37:12.389331096","192.168.1.1","239.255.255.250","SSDP","531","NOTIFY * HTTP/1.1 "
"118","03:37:12.394044467","192.168.1.1","239.255.255.250","SSDP","523","NOTIFY * HTTP/1.1 "
"119","03:37:12.398422042","192.168.1.1","239.255.255.250","SSDP","468","NOTIFY * HTTP/1.1 "
"120","03:37:12.403034462","192.168.1.1","239.255.255.250","SSDP","507","NOTIFY * HTTP/1.1 "
"121","03:37:12.407895896","192.168.1.1","239.255.255.250","SSDP","539","NOTIFY * HTTP/1.1 "
"122","03:37:12.412229080","192.168.1.1","239.255.255.250","SSDP","468","NOTIFY * HTTP/1.1 "
"123","03:37:12.482302688","192.168.1.1","239.255.255.250","SSDP","527","NOTIFY * HTTP/1.1 "
"124","03:37:12.487064873","192.168.1.1","239.255.255.250","SSDP","521","NOTIFY * HTTP/1.1 "
"125","03:37:12.492087871","192.168.1.1","239.255.255.250","SSDP","459","NOTIFY * HTTP/1.1 "
"126","03:37:12.501327808","192.168.1.1","239.255.255.250","SSDP","531","NOTIFY * HTTP/1.1 "
"127","03:37:12.506046638","192.168.1.1","239.255.255.250","SSDP","523","NOTIFY * HTTP/1.1 "
"128","03:37:12.510447034","192.168.1.1","239.255.255.250","SSDP","468","NOTIFY * HTTP/1.1 "
"129","03:37:12.515122735","192.168.1.1","239.255.255.250","SSDP","507","NOTIFY * HTTP/1.1 "
"130","03:37:12.589249271","192.168.1.1","239.255.255.250","SSDP","468","NOTIFY * HTTP/1.1 "
"131","03:37:12.594924573","192.168.1.1","239.255.255.250","SSDP","527","NOTIFY * HTTP/1.1 "
"132","03:37:12.599633343","192.168.1.1","239.255.255.250","SSDP","521","NOTIFY * HTTP/1.1 "
"133","03:37:13.017220560","Tp-LinkT_4e:78:74","LiteonTe_81:a3:7b","ARP","42","Who has 192.168.1.103? Tell 192.168.1.1"
"134","03:37:13.017230963","LiteonTe_81:a3:7b","Tp-LinkT_4e:78:74","ARP","42","192.168.1.103 is at 98:22:ef:81:a3:7b"
"135","03:37:13.089361702","LiteonTe_81:a3:7b","Tp-LinkT_4e:78:74","ARP","42","Who has 192.168.1.1? Tell 192.168.1.103"
"136","03:37:13.094273000","Tp-LinkT_4e:78:74","LiteonTe_81:a3:7b","ARP","42","192.168.1.1 is at ac:84:c6:4e:78:74"
"137","03:37:13.504109279","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"138","03:37:13.506101028","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"139","03:37:18.629391122","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"140","03:37:18.630738139","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"141","03:37:18.631987407","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"142","03:37:24.254941636","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"143","03:37:24.256171374","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"144","03:37:24.257440284","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"145","03:37:25.836003963","fe80::2860:e0ad:d860:d4d5","ff02::1:2","DHCPv6","126","Solicit XID: 0xece513 CID: 0004bd9e6aedb0d32beabc4c58fa0731f490 "
"146","03:37:25.839138377","fe80::ae84:c6ff:fe4e:7874","fe80::2860:e0ad:d860:d4d5","DHCPv6","133","Advertise XID: 0xece513 CID: 0004bd9e6aedb0d32beabc4c58fa0731f490 "
"147","03:37:29.579669578","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"148","03:37:29.580944424","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"149","03:37:29.582255446","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"150","03:37:30.911167952","fe80::ae84:c6ff:fe4e:7874","fe80::2860:e0ad:d860:d4d5","ICMPv6","86","Neighbor Solicitation for fe80::2860:e0ad:d860:d4d5 from ac:84:c6:4e:78:74"
"151","03:37:30.911190650","fe80::2860:e0ad:d860:d4d5","fe80::ae84:c6ff:fe4e:7874","ICMPv6","78","Neighbor Advertisement fe80::2860:e0ad:d860:d4d5 (sol)"
"152","03:37:31.526709564","94.130.12.30","192.168.1.103","TLSv1.2","515","Application Data"
"153","03:37:31.526733968","192.168.1.103","94.130.12.30","TCP","66","59498  >  443 [ACK] Seq=1105 Ack=2663 Win=64128 Len=0 TSval=2453319256 TSecr=860028139"
"154","03:37:36.125397108","fe80::2860:e0ad:d860:d4d5","fe80::ae84:c6ff:fe4e:7874","ICMPv6","86","Neighbor Solicitation for fe80::ae84:c6ff:fe4e:7874 from 98:22:ef:81:a3:7b"
"155","03:37:36.129087117","fe80::ae84:c6ff:fe4e:7874","fe80::2860:e0ad:d860:d4d5","ICMPv6","78","Neighbor Advertisement fe80::ae84:c6ff:fe4e:7874 (rtr, sol)"
"156","03:37:38.946303360","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"157","03:37:38.947583017","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"158","03:37:38.948828681","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"159","03:37:44.530186552","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"160","03:37:44.531402443","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"161","03:37:44.532656184","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"162","03:37:48.626142758","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"163","03:37:48.627393580","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"164","03:37:48.628619936","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"165","03:37:55.794246024","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"166","03:37:55.795458421","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"167","03:37:55.796770178","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"168","03:38:00.197404743","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"169","03:38:00.198776353","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"170","03:38:00.200123482","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"171","03:38:08.184704208","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"172","03:38:08.185930144","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"173","03:38:08.187181752","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"174","03:38:11.360341651","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"175","03:38:11.361774447","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"176","03:38:11.825788613","192.168.1.103","94.130.12.30","TLSv1.2","328","Application Data"
"177","03:38:12.076106050","94.130.12.30","192.168.1.103","TLSv1.2","158","Application Data"
"178","03:38:12.076132613","192.168.1.103","94.130.12.30","TCP","66","59498  >  443 [ACK] Seq=1367 Ack=2755 Win=64128 Len=0 TSval=2453359805 TSecr=860038260"
"179","03:38:16.992025721","Tp-LinkT_4e:78:74","LiteonTe_81:a3:7b","ARP","42","Who has 192.168.1.103? Tell 192.168.1.1"
"180","03:38:16.992034849","LiteonTe_81:a3:7b","Tp-LinkT_4e:78:74","ARP","42","192.168.1.103 is at 98:22:ef:81:a3:7b"
